outcome,recency<0.33q,recency>0.66q,0.33q<=recency<=0.66q,lifetime<0.33q,lifetime>0.66q,0.33q<=lifetime<=0.66q,bigstoreshare<0.33q,bigstoreshare>0.66q,0.33q<=bigstoreshare<=0.66q,sum0<0.33q,sum0>0.66q,0.33q<=sum0<=0.66q,treatment,treat1,treat2,numbasket0,sum0,avgcart<0.33q,avgcart>0.66q,0.33q<=avgcart<=0.66q
True,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,16,3453.81,1,0,0
True,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,126,40074.67,1,0,0
True,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,31,5647.29,1,0,0
True,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,206,160256.37,0,1,0
False,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,10,1567.0,1,0,0
True,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,77,47773.91,0,1,0
True,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,4,3729.35,0,1,0
True,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,129,36224.25,1,0,0
True,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,18,19856.84,0,1,0
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,7,2964.71,0,0,1
True,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,58,19821.21,0,0,1
True,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,309,94044.39,1,0,0
False,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,5,2562.81,0,0,1
True,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,64,18317.06,1,0,0
True,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,122,46733.52,0,0,1
True,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,27,28958.02,0,1,0
True,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,73,36968.88,0,0,1
True,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,11,4308.09,0,0,1
